tidybrreg: bulk data not yet downloaded for: enheter, underenheter, roller.
Run brreg_snapshot() for full network/panel support. See ?brreg_status for details.
[PASS ] U-01     updates returns rows
[PASS ] U-02     documented columns are present
[PASS ] U-03     timestamp is POSIXct
[FAIL ] U-04     timestamps carry a UTC timezone <D-33>
[PASS ] U-05     timestamps are not in the future <D-33>
[PASS ] U-06     update_id is strictly increasing
[PASS ] U-07     update_id has no duplicates
[PASS ] U-08     change_type values are the documented set
[PASS ] U-09     org numbers are valid
[FAIL ] U-10     default call does not silently truncate <D-30>
[PASS ] U-11     max_pages beyond the data does not loop forever
[PASS ] U-12     pagination is contiguous with a single-page read
[FAIL ] U-13     since respects the time of day <D-31>
[PASS ] U-14     include_changes adds a list column of tibbles
[PASS ] U-15     change tibbles carry the documented columns
[PASS ] U-16     patch operations are RFC 6902 verbs
[PASS ] U-17     underenheter stream works
[PASS ] U-18     roller stream works
[FAIL ] U-19     roller stream honours max_pages <D-32>
[PASS ] U-20     roller stream schema matches the enheter stream
[FAIL ] U-21     future since yields a typed empty tibble <D-05>
[PASS ] U-22     size above the API ceiling is capped, not rejected
[PASS ] UF-01    update_fields returns rows
[PASS ] UF-02    documented columns are present
[PASS ] UF-03    no list columns
[PASS ] UF-04    patch-less events appear as synthetic NA rows
[PASS ] UF-05    every event in the event view appears in the field view
[PASS ] UF-06    field names contain no slashes
[SKIP ] UF-07    move operations emit a paired remove
[PASS ] UF-08    roller is rejected for the field view
[PASS ] UF-09    field values are character or NA
[PASS ] UF-10    empty window yields a typed empty tibble
[PASS ] PT-01    parse_patch flattens a depth-2 value
[PASS ] PT-02    parse_patch handles depth-3 nesting
[FAIL ] PT-03    parse_patch emits both sides of a move
[PASS ] PT-04    parse_patch expands arrays positionally
[PASS ] PT-05    flatten_page_patches agrees with parse_patch on field names <D-34>
[PASS ] PT-06    flatten_page_patches survives depth-3 nesting <D-34>
[PASS ] PT-07    flatten_page_patches emits one synthetic row for patch-less events
[PASS ] PT-08    flatten_page_patches grows past the pre-allocation
[PASS ] PT-09    parse_updates_page handles an empty page
[PASS ] PT-10    parse_patch on an empty patch list returns a typed empty tibble

== 17-updates: 42 checks, FAIL=6 PASS=35 SKIP=1 ==
